2019-02-26 13:51:47 412   CTraderSpi::ReqUserLogout	 [Info] 登陆请求成功
2019-02-26 13:51:47 412   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:47 412   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:47 412   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:47 412   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:47 428   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:47 428   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:48 192   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:48 192   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:48 192   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:48 192   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:48 192   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:48 192   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:48 192   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:49 237   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 237   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 237   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:49 237   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:49 237   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 237   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:49 237   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:49 705   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 705   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 705   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:49 705   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:49 721   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 721   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:49 721   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:49 879   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 879   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 879   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:49 879   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:49 879   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:49 879   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:49 879   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:50 082   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:50 082   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:50 082   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:50 082   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:50 082   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
2019-02-26 13:51:50 082   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 8193
2019-02-26 13:51:50 082   CTraderSpi::OnFrontDisconnected	 [Info] Reason: 10038
2019-02-26 13:51:50 851   CTraderSpi::ReqQryTradingAccount	 [Info] m_nRequestId = 19
2019-02-26 13:51:50 851   CTraderSpi::RspQryTradingAccount	 [Info] BrokerID, AccountID, PreMortgage, PreCredit, PreDeposit, PreBalance, PreMargin, InterestBase, Interest, Deposit, Withdraw, FrozenMargin, FrozenCash, FrozenCommission, CurrMargin, CashIn, Commission, CloseProfit, PositionProfit, Balance, Available, WithdrawQuota, Reserve, TradingDay,SettlementID, Credit, Mortgage, ExchangeMargin, DeliveryMargin, ExchangeDeliveryMargin
2019-02-26 13:51:50 851   CTraderSpi::ReqUserLogin	 [Info] 登陆请求成功
